 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   31   78  109      722.175        5.100        4.300         4.93         0.12         15.6       -0.820       -0.920
   31   79  110      723.000        5.200        4.300         4.99         0.16          9.4        0.825        0.005
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   32   40   72      629.685        4.100        4.000         4.08         0.23         11.5                          
   32   41   73      637.360        4.100        4.000         4.02         0.02         16.6        7.675             
   32   42   74      644.865        4.100        4.000         4.04         0.05          5.8        7.505       15.180
   32   43   75      653.250        4.100        4.000         4.06         0.08          0.4        8.385       15.890
   32   44   76      660.810        4.200        4.000         4.09         0.10          0.1        7.560       15.945
   32   45   77      668.860        4.200        4.000         4.11         0.11          0.0        8.050       15.610
   32   46   78      675.895        4.200        4.000         4.13         0.11          0.0        7.035       15.085
   32   47   79      682.995        4.200        4.000         4.14         0.10          0.1        7.100       14.135
   32   48   80      689.155        4.200        4.000         4.15         0.09          0.5        6.160       13.260
   32   49   81      695.015        4.200        4.000         4.15         0.02         37.0        5.860       12.020
   32   50   82      700.760        4.300        4.000         4.17         0.01         58.3        5.745       11.605
   32   51   83      705.105        4.300        4.000         4.20         0.05         31.8        4.345       10.090
   32   52   84      709.190        4.300        4.000         4.23         0.08         22.5        4.085        8.430
   32   53   85      712.910        4.400        4.100         4.26         0.09         21.6        3.720        7.805
   32   54   86      715.965        4.400        4.100         4.28         0.09         21.7        3.055        6.775
   32   55   87      719.220        4.400        4.100         4.31         0.08         53.7        3.255        6.310
   32   56   88      721.615        4.500        4.100         4.34         0.10         56.6        2.395        5.650
   32   57   89      724.780        4.500        4.100         4.38         0.12         59.9        3.165        5.560
   32   58   90      727.035        4.600        4.200         4.42         0.14         60.0        2.255        5.420
   32   59   91      729.420        4.600        4.100         4.43         0.12         40.0        2.385        4.640
   32   60   92      731.485        4.600        4.200         4.47         0.13         47.2        2.065        4.450
   32   61   93      733.875        4.700        4.200         4.49         0.11         58.6        2.390        4.455
   32   62   94      735.700        4.700        4.200         4.51         0.11         59.6        1.825        4.215
   32   63   95      736.870        4.700        4.200         4.54         0.10         59.7        1.170        2.995
   32   64   96      737.830        4.700        4.200         4.56         0.10         59.8        0.960        2.130
   32   65   97      740.205        4.800        4.200         4.59         0.07         58.9        2.375        3.335
